"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:45 GMT 2025","18129","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Mon Jul 07 01:46:25 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","715","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","628","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"skipped","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Mon Jul 07 01:46:49 GMT 2025","Mon Jul 07 01:47:04 GMT 2025","15259","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"skipped","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Mon Jul 07 01:46:45 GMT 2025","Mon Jul 07 01:46:49 GMT 2025","4251","","ui.CartTest","","ui.CartTest","homePageTest","homePageTest()",""
"skipped","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Mon Jul 07 01:46:26 GMT 2025","Mon Jul 07 01:46:26 GMT 2025","149","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
