"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 12:16:51 GMT 2025","Mon Jul 14 12:16:55 GMT 2025","4170","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Mon Jul 14 12:14:19 GMT 2025","Mon Jul 14 12:14:36 GMT 2025","17206","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Mon Jul 14 12:12:04 GMT 2025","Mon Jul 14 12:12:06 GMT 2025","1635","","api.CartTest","","api.CartTest","removeAllItemsFromCart","removeAllItemsFromCart()",""
"passed","Mon Jul 14 12:17:00 GMT 2025","Mon Jul 14 12:17:08 GMT 2025","8385","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Mon Jul 14 12:12:47 GMT 2025","Mon Jul 14 12:13:06 GMT 2025","19800","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Mon Jul 14 12:12:07 GMT 2025","Mon Jul 14 12:12:09 GMT 2025","2065","","api.CartTest","","api.CartTest","editCartItems","editCartItems()",""
"passed","Mon Jul 14 12:13:50 GMT 2025","Mon Jul 14 12:14:19 GMT 2025","29109","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Mon Jul 14 12:15:31 GMT 2025","Mon Jul 14 12:16:00 GMT 2025","28718","","ui.CheckoutTest","","ui.CheckoutTest","fillingCheckoutDataTest","fillingCheckoutDataTest()",""
"passed","Mon Jul 14 12:14:36 GMT 2025","Mon Jul 14 12:15:07 GMT 2025","30801","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Mon Jul 14 12:16:55 GMT 2025","Mon Jul 14 12:17:00 GMT 2025","4463","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Mon Jul 14 12:12:06 GMT 2025","Mon Jul 14 12:12:07 GMT 2025","1030","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Mon Jul 14 12:13:27 GMT 2025","Mon Jul 14 12:13:50 GMT 2025","22775","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Mon Jul 14 12:16:00 GMT 2025","Mon Jul 14 12:16:24 GMT 2025","23954","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Mon Jul 14 12:13:06 GMT 2025","Mon Jul 14 12:13:27 GMT 2025","20685","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Mon Jul 14 12:16:24 GMT 2025","Mon Jul 14 12:16:51 GMT 2025","27128","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Mon Jul 14 12:15:07 GMT 2025","Mon Jul 14 12:15:31 GMT 2025","24326","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Mon Jul 14 12:12:09 GMT 2025","Mon Jul 14 12:12:46 GMT 2025","37190","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Mon Jul 14 12:11:58 GMT 2025","Mon Jul 14 12:12:04 GMT 2025","6262","","api.CartTest","","api.CartTest","testTotalOrderPriceWithDiscount","testTotalOrderPriceWithDiscount()",""
