"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 05:38:30 GMT 2025","Sat Jul 26 05:38:43 GMT 2025","13020","","api.CartTest","","api.CartTest","getTotalOrderPriceWithDiscountTest","getTotalOrderPriceWithDiscountTest()",""
"passed","Sat Jul 26 05:38:47 GMT 2025","Sat Jul 26 05:39:09 GMT 2025","21898","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisibleTest","isCategoriesTextVisibleTest()",""
"passed","Sat Jul 26 05:38:45 GMT 2025","Sat Jul 26 05:38:46 GMT 2025","1074","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"broken","Sat Jul 26 05:40:32 GMT 2025","Sat Jul 26 05:41:57 GMT 2025","84964","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sat Jul 26 05:38:30 GMT 2025","Sat Jul 26 05:38:40 GMT 2025","9600","","api.TokenTest","","api.TokenTest","getAccessTokenTest","getAccessTokenTest()",""
"broken","Sat Jul 26 05:41:16 GMT 2025","Sat Jul 26 05:42:37 GMT 2025","81011","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Sat Jul 26 05:38:42 GMT 2025","Sat Jul 26 05:39:05 GMT 2025","23149","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButtonTest","addItemToCartViaQuickShopButtonTest()",""
"passed","Sat Jul 26 05:39:09 GMT 2025","Sat Jul 26 05:40:36 GMT 2025","86381","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"broken","Sat Jul 26 05:42:37 GMT 2025","Sat Jul 26 05:43:59 GMT 2025","82578","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Sat Jul 26 05:38:46 GMT 2025","Sat Jul 26 05:38:47 GMT 2025","1115","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
"broken","Sat Jul 26 05:38:31 GMT 2025","Sat Jul 26 05:38:48 GMT 2025","16697","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"passed","Sat Jul 26 05:45:28 GMT 2025","Sat Jul 26 05:46:22 GMT 2025","54124","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"broken","Sat Jul 26 05:41:57 GMT 2025","Sat Jul 26 05:43:19 GMT 2025","82539","","ui.CartTest","","ui.CartTest","editedCartItemsPriceTest","editedCartItemsPriceTest()",""
"broken","Sat Jul 26 05:43:59 GMT 2025","Sat Jul 26 05:45:28 GMT 2025","88766","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Sat Jul 26 05:46:12 GMT 2025","Sat Jul 26 05:47:04 GMT 2025","51719","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Sat Jul 26 05:43:19 GMT 2025","Sat Jul 26 05:44:48 GMT 2025","88920","","ui.CartTest","","ui.CartTest","editCartItemQuantityTest","editCartItemQuantityTest()",""
"broken","Sat Jul 26 05:39:52 GMT 2025","Sat Jul 26 05:41:16 GMT 2025","84121","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"broken","Sat Jul 26 05:44:48 GMT 2025","Sat Jul 26 05:46:12 GMT 2025","83532","","ui.CartTest","","ui.CartTest","addItemToCartTest","addItemToCartTest()",""
"passed","Sat Jul 26 05:38:44 GMT 2025","Sat Jul 26 05:38:45 GMT 2025","1170","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Sat Jul 26 05:38:48 GMT 2025","Sat Jul 26 05:39:52 GMT 2025","63491","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemPriceTest","checkSeveralQuantityItemPriceTest()",""
"passed","Sat Jul 26 05:38:43 GMT 2025","Sat Jul 26 05:38:44 GMT 2025","869","","api.CartTest","","api.CartTest","isShippingFreeTest","isShippingFreeTest()",""
"broken","Sat Jul 26 05:39:05 GMT 2025","Sat Jul 26 05:40:32 GMT 2025","86998","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
