"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 04:56:03 GMT 2025","Thu Jul 10 04:56:41 GMT 2025","38032","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"broken","Thu Jul 10 04:55:28 GMT 2025","Thu Jul 10 04:56:03 GMT 2025","35240","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Thu Jul 10 04:54:49 GMT 2025","Thu Jul 10 04:55:28 GMT 2025","38744","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Thu Jul 10 04:53:22 GMT 2025","Thu Jul 10 04:53:22 GMT 2025","211","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Thu Jul 10 04:56:41 GMT 2025","Thu Jul 10 04:57:11 GMT 2025","29997","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"skipped","Thu Jul 10 04:53:23 GMT 2025","Thu Jul 10 04:53:23 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"skipped","Thu Jul 10 04:53:23 GMT 2025","Thu Jul 10 04:53:23 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Thu Jul 10 04:58:12 GMT 2025","Thu Jul 10 04:58:19 GMT 2025","6518","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Thu Jul 10 04:58:05 GMT 2025","Thu Jul 10 04:58:12 GMT 2025","6822","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"skipped","Thu Jul 10 04:53:23 GMT 2025","Thu Jul 10 04:53:23 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"broken","Thu Jul 10 04:57:11 GMT 2025","Thu Jul 10 04:58:05 GMT 2025","54513","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Thu Jul 10 04:53:22 GMT 2025","Thu Jul 10 04:53:23 GMT 2025","559","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"broken","Thu Jul 10 04:53:23 GMT 2025","Thu Jul 10 04:54:19 GMT 2025","56655","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Thu Jul 10 04:53:21 GMT 2025","Thu Jul 10 04:53:22 GMT 2025","985","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Thu Jul 10 04:54:19 GMT 2025","Thu Jul 10 04:54:49 GMT 2025","29418","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
