"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 10:45:23 GMT 2025","Thu Jul 10 10:46:13 GMT 2025","50210","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Thu Jul 10 10:50:04 GMT 2025","Thu Jul 10 10:50:10 GMT 2025","6416","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"skipped","Thu Jul 10 10:45:23 GMT 2025","Thu Jul 10 10:45:23 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Thu Jul 10 10:48:04 GMT 2025","Thu Jul 10 10:48:46 GMT 2025","42092","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Thu Jul 10 10:48:46 GMT 2025","Thu Jul 10 10:49:21 GMT 2025","34809","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Thu Jul 10 10:46:46 GMT 2025","Thu Jul 10 10:47:25 GMT 2025","38511","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Thu Jul 10 10:45:22 GMT 2025","Thu Jul 10 10:45:23 GMT 2025","554","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Thu Jul 10 10:45:22 GMT 2025","Thu Jul 10 10:45:22 GMT 2025","168","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Thu Jul 10 10:50:10 GMT 2025","Thu Jul 10 10:50:16 GMT 2025","5830","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Thu Jul 10 10:45:21 GMT 2025","Thu Jul 10 10:45:22 GMT 2025","976","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"skipped","Thu Jul 10 10:45:23 GMT 2025","Thu Jul 10 10:45:23 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Thu Jul 10 10:49:21 GMT 2025","Thu Jul 10 10:50:04 GMT 2025","43236","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"skipped","Thu Jul 10 10:45:23 GMT 2025","Thu Jul 10 10:45:23 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Thu Jul 10 10:47:25 GMT 2025","Thu Jul 10 10:48:04 GMT 2025","39218","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Thu Jul 10 10:46:13 GMT 2025","Thu Jul 10 10:46:46 GMT 2025","32918","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
