"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 14 13:17:27 GMT 2025","Mon Jul 14 13:17:40 GMT 2025","12919","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 1 of 3",""
"passed","Mon Jul 14 13:12:09 GMT 2025","Mon Jul 14 13:12:13 GMT 2025","4604","","api.CartTest","","api.CartTest","testTotalOrderPriceWithDiscount","testTotalOrderPriceWithDiscount()",""
"passed","Mon Jul 14 13:16:07 GMT 2025","Mon Jul 14 13:16:37 GMT 2025","29855","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Mon Jul 14 13:17:01 GMT 2025","Mon Jul 14 13:17:27 GMT 2025","25285","","ui.CheckoutTest","","ui.CheckoutTest","fillingCheckoutDataTest","fillingCheckoutDataTest()",""
"passed","Mon Jul 14 13:18:56 GMT 2025","Mon Jul 14 13:19:20 GMT 2025","23525","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 3 of 3",""
"passed","Mon Jul 14 13:19:20 GMT 2025","Mon Jul 14 13:19:41 GMT 2025","20876","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Mon Jul 14 13:15:29 GMT 2025","Mon Jul 14 13:15:52 GMT 2025","22642","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"broken","Mon Jul 14 13:17:40 GMT 2025","Mon Jul 14 13:18:56 GMT 2025","76561","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 2 of 3",""
"passed","Mon Jul 14 13:12:13 GMT 2025","Mon Jul 14 13:12:15 GMT 2025","1794","","api.CartTest","","api.CartTest","removeAllItemsFromCart","removeAllItemsFromCart()",""
"passed","Mon Jul 14 13:19:45 GMT 2025","Mon Jul 14 13:19:49 GMT 2025","4432","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"broken","Mon Jul 14 13:12:58 GMT 2025","Mon Jul 14 13:14:14 GMT 2025","76451","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"broken","Mon Jul 14 13:14:14 GMT 2025","Mon Jul 14 13:15:29 GMT 2025","75078","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Mon Jul 14 13:12:18 GMT 2025","Mon Jul 14 13:12:44 GMT 2025","26398","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Mon Jul 14 13:12:15 GMT 2025","Mon Jul 14 13:12:16 GMT 2025","1125","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Mon Jul 14 13:15:52 GMT 2025","Mon Jul 14 13:16:07 GMT 2025","15221","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Mon Jul 14 13:19:49 GMT 2025","Mon Jul 14 13:19:58 GMT 2025","8436","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Mon Jul 14 13:19:41 GMT 2025","Mon Jul 14 13:19:45 GMT 2025","4325","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Mon Jul 14 13:12:16 GMT 2025","Mon Jul 14 13:12:18 GMT 2025","1546","","api.CartTest","","api.CartTest","editCartItems","editCartItems()",""
"passed","Mon Jul 14 13:12:44 GMT 2025","Mon Jul 14 13:12:58 GMT 2025","13624","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Mon Jul 14 13:16:37 GMT 2025","Mon Jul 14 13:17:01 GMT 2025","24179","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
