"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 05 07:44:39 GMT 2025","Sat Jul 05 07:45:03 GMT 2025","24378","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Sat Jul 05 07:44:37 GMT 2025","Sat Jul 05 07:44:38 GMT 2025","739","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"skipped","Sat Jul 05 07:44:39 GMT 2025","Sat Jul 05 07:44:39 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Sat Jul 05 07:44:38 GMT 2025","Sat Jul 05 07:44:39 GMT 2025","483","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Sat Jul 05 07:44:38 GMT 2025","Sat Jul 05 07:44:38 GMT 2025","134","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Sat Jul 05 07:44:39 GMT 2025","Sat Jul 05 07:44:39 GMT 2025","65","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Sat Jul 05 07:44:39 GMT 2025","Sat Jul 05 07:44:39 GMT 2025","224","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
