"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 05:02:55 GMT 2025","Thu Jul 10 05:03:23 GMT 2025","28170","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Thu Jul 10 05:05:45 GMT 2025","Thu Jul 10 05:05:52 GMT 2025","6126","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Thu Jul 10 05:02:10 GMT 2025","Thu Jul 10 05:02:10 GMT 2025","214","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Thu Jul 10 05:04:40 GMT 2025","Thu Jul 10 05:05:02 GMT 2025","22651","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Thu Jul 10 05:02:10 GMT 2025","Thu Jul 10 05:02:11 GMT 2025","585","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Thu Jul 10 05:03:23 GMT 2025","Thu Jul 10 05:03:49 GMT 2025","26086","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Thu Jul 10 05:05:02 GMT 2025","Thu Jul 10 05:05:38 GMT 2025","36109","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Thu Jul 10 05:05:38 GMT 2025","Thu Jul 10 05:05:45 GMT 2025","6964","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"passed","Thu Jul 10 05:02:09 GMT 2025","Thu Jul 10 05:02:10 GMT 2025","1021","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Thu Jul 10 05:04:12 GMT 2025","Thu Jul 10 05:04:40 GMT 2025","27672","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Thu Jul 10 05:02:11 GMT 2025","Thu Jul 10 05:02:55 GMT 2025","43979","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"skipped","Thu Jul 10 05:02:11 GMT 2025","Thu Jul 10 05:02:11 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"skipped","Thu Jul 10 05:02:11 GMT 2025","Thu Jul 10 05:02:11 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Thu Jul 10 05:03:49 GMT 2025","Thu Jul 10 05:04:12 GMT 2025","23073","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"skipped","Thu Jul 10 05:02:11 GMT 2025","Thu Jul 10 05:02:11 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
