"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 13:29:10 GMT 2025","Sat Jul 26 13:30:13 GMT 2025","62735","","ui.CartTest","","ui.CartTest","addItemToCartTest","addItemToCartTest()",""
"passed","Sat Jul 26 13:25:21 GMT 2025","Sat Jul 26 13:26:36 GMT 2025","74870","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sat Jul 26 13:31:16 GMT 2025","Sat Jul 26 13:32:32 GMT 2025","75969","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"passed","Sat Jul 26 13:38:58 GMT 2025","Sat Jul 26 13:39:02 GMT 2025","4096","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisibleTest","isCategoriesTextVisibleTest()",""
"passed","Sat Jul 26 13:23:26 GMT 2025","Sat Jul 26 13:23:27 GMT 2025","1203","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Sat Jul 26 13:23:21 GMT 2025","Sat Jul 26 13:23:25 GMT 2025","4478","","api.CartTest","","api.CartTest","getTotalOrderPriceWithDiscountTest","getTotalOrderPriceWithDiscountTest()",""
"passed","Sat Jul 26 13:24:13 GMT 2025","Sat Jul 26 13:25:21 GMT 2025","68688","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"broken","Sat Jul 26 13:26:36 GMT 2025","Sat Jul 26 13:28:00 GMT 2025","83576","","ui.CartTest","","ui.CartTest","editedCartItemsPriceTest","editedCartItemsPriceTest()",""
"passed","Sat Jul 26 13:23:25 GMT 2025","Sat Jul 26 13:23:26 GMT 2025","931","","api.CartTest","","api.CartTest","isShippingFreeTest","isShippingFreeTest()",""
"passed","Sat Jul 26 13:39:02 GMT 2025","Sat Jul 26 13:39:06 GMT 2025","4127","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Sat Jul 26 13:33:48 GMT 2025","Sat Jul 26 13:35:01 GMT 2025","72224","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Sat Jul 26 13:37:37 GMT 2025","Sat Jul 26 13:38:58 GMT 2025","80987","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Sat Jul 26 13:23:30 GMT 2025","Sat Jul 26 13:24:13 GMT 2025","42915","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButtonTest","addItemToCartViaQuickShopButtonTest()",""
"passed","Sat Jul 26 13:23:30 GMT 2025","Sat Jul 26 13:23:30 GMT 2025","232","","api.TokenTest","","api.TokenTest","getAccessTokenTest","getAccessTokenTest()",""
"passed","Sat Jul 26 13:32:32 GMT 2025","Sat Jul 26 13:33:48 GMT 2025","76145","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemPriceTest","checkSeveralQuantityItemPriceTest()",""
"passed","Sat Jul 26 13:39:06 GMT 2025","Sat Jul 26 13:39:17 GMT 2025","10770","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Sat Jul 26 13:30:13 GMT 2025","Sat Jul 26 13:31:16 GMT 2025","63304","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Sat Jul 26 13:36:13 GMT 2025","Sat Jul 26 13:37:37 GMT 2025","84084","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Sat Jul 26 13:23:27 GMT 2025","Sat Jul 26 13:23:28 GMT 2025","1140","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"passed","Sat Jul 26 13:28:00 GMT 2025","Sat Jul 26 13:29:10 GMT 2025","70181","","ui.CartTest","","ui.CartTest","editCartItemQuantityTest","editCartItemQuantityTest()",""
"passed","Sat Jul 26 13:35:01 GMT 2025","Sat Jul 26 13:36:13 GMT 2025","72585","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Sat Jul 26 13:23:28 GMT 2025","Sat Jul 26 13:23:30 GMT 2025","1151","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
