"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 13:57:26 GMT 2025","Mon Jul 14 13:57:48 GMT 2025","21981","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Mon Jul 14 13:55:55 GMT 2025","Mon Jul 14 13:55:59 GMT 2025","4421","","api.CartTest","","api.CartTest","testTotalOrderPriceWithDiscount","testTotalOrderPriceWithDiscount()",""
"passed","Mon Jul 14 14:00:06 GMT 2025","Mon Jul 14 14:00:32 GMT 2025","26174","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 3 of 3",""
"passed","Mon Jul 14 13:57:07 GMT 2025","Mon Jul 14 13:57:26 GMT 2025","19053","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Mon Jul 14 13:57:48 GMT 2025","Mon Jul 14 13:58:03 GMT 2025","14659","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Mon Jul 14 14:00:56 GMT 2025","Mon Jul 14 14:01:00 GMT 2025","4203","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Mon Jul 14 13:58:52 GMT 2025","Mon Jul 14 13:59:18 GMT 2025","26062","","ui.CheckoutTest","","ui.CheckoutTest","fillingCheckoutDataTest","fillingCheckoutDataTest()",""
"passed","Mon Jul 14 13:59:18 GMT 2025","Mon Jul 14 13:59:42 GMT 2025","24371","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 1 of 3",""
"passed","Mon Jul 14 13:56:03 GMT 2025","Mon Jul 14 13:56:33 GMT 2025","30297","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Mon Jul 14 14:01:05 GMT 2025","Mon Jul 14 14:01:13 GMT 2025","8121","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Mon Jul 14 13:59:42 GMT 2025","Mon Jul 14 14:00:06 GMT 2025","23892","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest() repetition 2 of 3",""
"passed","Mon Jul 14 13:56:00 GMT 2025","Mon Jul 14 13:56:01 GMT 2025","1013","","api.CartTest","","api.CartTest","removeAllItemsFromCart","removeAllItemsFromCart()",""
"passed","Mon Jul 14 13:56:33 GMT 2025","Mon Jul 14 13:56:47 GMT 2025","14309","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"failed","Mon Jul 14 13:56:47 GMT 2025","Mon Jul 14 13:57:07 GMT 2025","19968","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Mon Jul 14 14:00:32 GMT 2025","Mon Jul 14 14:00:56 GMT 2025","23939","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Mon Jul 14 13:58:03 GMT 2025","Mon Jul 14 13:58:30 GMT 2025","26965","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Mon Jul 14 13:58:30 GMT 2025","Mon Jul 14 13:58:52 GMT 2025","21876","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Mon Jul 14 13:56:01 GMT 2025","Mon Jul 14 13:56:01 GMT 2025","826","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Mon Jul 14 14:01:00 GMT 2025","Mon Jul 14 14:01:05 GMT 2025","4444","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Mon Jul 14 13:56:01 GMT 2025","Mon Jul 14 13:56:03 GMT 2025","1086","","api.CartTest","","api.CartTest","editCartItems","editCartItems()",""
