"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 12:48:57 GMT 2025","Sat Jul 12 12:49:03 GMT 2025","5989","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Sat Jul 12 12:46:44 GMT 2025","Sat Jul 12 12:47:33 GMT 2025","48844","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Sat Jul 12 12:45:19 GMT 2025","Sat Jul 12 12:46:02 GMT 2025","43006","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Sat Jul 12 12:46:02 GMT 2025","Sat Jul 12 12:46:44 GMT 2025","42216","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sat Jul 12 12:43:45 GMT 2025","Sat Jul 12 12:43:45 GMT 2025","92","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Sat Jul 12 12:43:44 GMT 2025","Sat Jul 12 12:43:45 GMT 2025","699","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Sat Jul 12 12:48:12 GMT 2025","Sat Jul 12 12:48:57 GMT 2025","45611","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Sat Jul 12 12:47:33 GMT 2025","Sat Jul 12 12:48:12 GMT 2025","38918","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Sat Jul 12 12:43:44 GMT 2025","Sat Jul 12 12:43:44 GMT 2025","201","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Sat Jul 12 12:44:41 GMT 2025","Sat Jul 12 12:45:19 GMT 2025","38219","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Sat Jul 12 12:43:45 GMT 2025","Sat Jul 12 12:43:45 GMT 2025","382","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Sat Jul 12 12:43:43 GMT 2025","Sat Jul 12 12:43:44 GMT 2025","1037","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Sat Jul 12 12:49:03 GMT 2025","Sat Jul 12 12:49:10 GMT 2025","6448","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Sat Jul 12 12:49:10 GMT 2025","Sat Jul 12 12:49:21 GMT 2025","11619","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Sat Jul 12 12:43:46 GMT 2025","Sat Jul 12 12:44:41 GMT 2025","54537","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
