"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 03:32:41 GMT 2025","Mon Jul 07 03:32:56 GMT 2025","14175","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Mon Jul 07 03:32:00 GMT 2025","Mon Jul 07 03:32:15 GMT 2025","15302","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"skipped","Mon Jul 07 03:32:00 GMT 2025","Mon Jul 07 03:32:00 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Mon Jul 07 03:31:59 GMT 2025","Mon Jul 07 03:31:59 GMT 2025","651","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Mon Jul 07 03:32:15 GMT 2025","Mon Jul 07 03:32:37 GMT 2025","22177","","ui.CartTest","","ui.CartTest","checkoutPageTest","checkoutPageTest()",""
"skipped","Mon Jul 07 03:32:00 GMT 2025","Mon Jul 07 03:32:00 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Mon Jul 07 03:32:37 GMT 2025","Mon Jul 07 03:32:41 GMT 2025","4030","","ui.CartTest","","ui.CartTest","homePageTest","homePageTest()",""
"passed","Mon Jul 07 03:31:59 GMT 2025","Mon Jul 07 03:31:59 GMT 2025","125","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"skipped","Mon Jul 07 03:32:00 GMT 2025","Mon Jul 07 03:32:00 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Mon Jul 07 03:31:59 GMT 2025","Mon Jul 07 03:32:00 GMT 2025","429","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
