"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 05 07:20:07 GMT 2025","Sat Jul 05 07:20:11 GMT 2025","4216","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Sat Jul 05 07:20:05 GMT 2025","Sat Jul 05 07:20:06 GMT 2025","279","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Sat Jul 05 07:20:06 GMT 2025","Sat Jul 05 07:20:06 GMT 2025","670","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Sat Jul 05 07:20:04 GMT 2025","Sat Jul 05 07:20:05 GMT 2025","801","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Sat Jul 05 07:20:06 GMT 2025","Sat Jul 05 07:20:06 GMT 2025","65","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"skipped","Sat Jul 05 07:20:07 GMT 2025","Sat Jul 05 07:20:07 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Sat Jul 05 07:20:06 GMT 2025","Sat Jul 05 07:20:07 GMT 2025","389","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
