"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 09:45:23 GMT 2025","Tue Jul 15 09:46:26 GMT 2025","62552","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"passed","Tue Jul 15 09:44:28 GMT 2025","Tue Jul 15 09:45:23 GMT 2025","54832","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Tue Jul 15 09:46:26 GMT 2025","Tue Jul 15 09:47:24 GMT 2025","58099","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Tue Jul 15 09:39:29 GMT 2025","Tue Jul 15 09:39:30 GMT 2025","862","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Tue Jul 15 09:39:28 GMT 2025","Tue Jul 15 09:39:29 GMT 2025","1067","","api.CartTest","","api.CartTest","removeAllItemsFromCart","removeAllItemsFromCart()",""
"passed","Tue Jul 15 09:39:31 GMT 2025","Tue Jul 15 09:40:35 GMT 2025","63643","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Tue Jul 15 09:43:33 GMT 2025","Tue Jul 15 09:44:28 GMT 2025","55575","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Tue Jul 15 09:42:38 GMT 2025","Tue Jul 15 09:43:33 GMT 2025","54751","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"broken","Tue Jul 15 09:40:35 GMT 2025","Tue Jul 15 09:41:40 GMT 2025","64966","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Tue Jul 15 09:50:33 GMT 2025","Tue Jul 15 09:50:41 GMT 2025","7984","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Tue Jul 15 09:50:25 GMT 2025","Tue Jul 15 09:50:29 GMT 2025","3861","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"broken","Tue Jul 15 09:49:21 GMT 2025","Tue Jul 15 09:50:25 GMT 2025","64289","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Tue Jul 15 09:50:29 GMT 2025","Tue Jul 15 09:50:33 GMT 2025","4233","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Tue Jul 15 09:39:23 GMT 2025","Tue Jul 15 09:39:28 GMT 2025","4699","","api.CartTest","","api.CartTest","testTotalOrderPriceWithDiscount","testTotalOrderPriceWithDiscount()",""
"passed","Tue Jul 15 09:47:24 GMT 2025","Tue Jul 15 09:48:22 GMT 2025","57916","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Tue Jul 15 09:39:30 GMT 2025","Tue Jul 15 09:39:31 GMT 2025","1055","","api.CartTest","","api.CartTest","editCartItems","editCartItems()",""
"passed","Tue Jul 15 09:41:40 GMT 2025","Tue Jul 15 09:42:38 GMT 2025","58174","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Tue Jul 15 09:48:22 GMT 2025","Tue Jul 15 09:49:21 GMT 2025","59189","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
