"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 27 13:28:06 GMT 2025","Sun Jul 27 13:28:07 GMT 2025","1182","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"passed","Sun Jul 27 13:27:59 GMT 2025","Sun Jul 27 13:28:04 GMT 2025","4694","","api.CartTest","","api.CartTest","getTotalOrderPriceWithDiscountTest","getTotalOrderPriceWithDiscountTest()",""
"passed","Sun Jul 27 13:28:04 GMT 2025","Sun Jul 27 13:28:05 GMT 2025","736","","api.CartTest","","api.CartTest","isShippingFreeTest","isShippingFreeTest()",""
"passed","Sun Jul 27 13:28:07 GMT 2025","Sun Jul 27 13:28:08 GMT 2025","1217","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
"broken","Sun Jul 27 13:28:52 GMT 2025","Sun Jul 27 13:29:59 GMT 2025","67290","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Sun Jul 27 13:28:08 GMT 2025","Sun Jul 27 13:28:09 GMT 2025","174","","api.TokenTest","","api.TokenTest","getAccessTokenTest","getAccessTokenTest()",""
"broken","Sun Jul 27 13:28:09 GMT 2025","Sun Jul 27 13:28:52 GMT 2025","43209","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButtonTest","addItemToCartViaQuickShopButtonTest()",""
"broken","Sun Jul 27 13:29:59 GMT 2025","Sun Jul 27 13:31:58 GMT 2025","118515","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sun Jul 27 13:28:05 GMT 2025","Sun Jul 27 13:28:06 GMT 2025","1052","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
