"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 05 10:19:13 GMT 2025","Sat Jul 05 10:19:14 GMT 2025","714","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Sat Jul 05 10:19:14 GMT 2025","Sat Jul 05 10:19:14 GMT 2025","216","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Sat Jul 05 10:19:15 GMT 2025","Sat Jul 05 10:19:20 GMT 2025","4824","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Sat Jul 05 10:19:14 GMT 2025","Sat Jul 05 10:19:15 GMT 2025","605","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Sat Jul 05 10:19:15 GMT 2025","Sat Jul 05 10:19:15 GMT 2025","322","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Sat Jul 05 10:19:15 GMT 2025","Sat Jul 05 10:19:15 GMT 2025","72","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"skipped","Sat Jul 05 10:19:15 GMT 2025","Sat Jul 05 10:19:15 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Sat Jul 05 10:19:20 GMT 2025","Sat Jul 05 10:19:24 GMT 2025","4060","","ui.CartTest","","ui.CartTest","homePageTest","homePageTest()",""
