"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 01:36:33 GMT 2025","Mon Jul 07 01:36:33 GMT 2025","207","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Mon Jul 07 01:36:32 GMT 2025","Mon Jul 07 01:36:32 GMT 2025","720","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"skipped","Mon Jul 07 01:36:33 GMT 2025","Mon Jul 07 01:36:33 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Mon Jul 07 01:36:32 GMT 2025","Mon Jul 07 01:36:33 GMT 2025","137","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Mon Jul 07 01:36:33 GMT 2025","Mon Jul 07 01:36:47 GMT 2025","13148","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton() repetition 1 of 2",""
"passed","Mon Jul 07 01:36:33 GMT 2025","Mon Jul 07 01:36:33 GMT 2025","506","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Mon Jul 07 01:37:03 GMT 2025","Mon Jul 07 01:37:07 GMT 2025","3906","","ui.CartTest","","ui.CartTest","homePageTest","homePageTest()",""
"failed","Mon Jul 07 01:36:33 GMT 2025","Mon Jul 07 01:36:33 GMT 2025","80","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Mon Jul 07 01:37:07 GMT 2025","Mon Jul 07 01:37:25 GMT 2025","17812","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart() repetition 1 of 2",""
"passed","Mon Jul 07 01:37:25 GMT 2025","Mon Jul 07 01:37:40 GMT 2025","15404","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart() repetition 2 of 2",""
"passed","Mon Jul 07 01:36:47 GMT 2025","Mon Jul 07 01:37:03 GMT 2025","16190","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton() repetition 2 of 2",""
