"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 26 03:31:52 GMT 2025","Sat Jul 26 03:32:09 GMT 2025","16328","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"broken","Sat Jul 26 03:37:45 GMT 2025","Sat Jul 26 03:39:08 GMT 2025","82819","","ui.CartTest","","ui.CartTest","addItemToCartTest","addItemToCartTest()",""
"passed","Sat Jul 26 03:33:50 GMT 2025","Sat Jul 26 03:35:07 GMT 2025","77486","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sat Jul 26 03:32:08 GMT 2025","Sat Jul 26 03:32:30 GMT 2025","21857","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisibleTest","isCategoriesTextVisibleTest()",""
"passed","Sat Jul 26 03:32:03 GMT 2025","Sat Jul 26 03:32:04 GMT 2025","1274","","api.CartTest","","api.CartTest","isShippingFreeTest","isShippingFreeTest()",""
"broken","Sat Jul 26 03:34:36 GMT 2025","Sat Jul 26 03:35:50 GMT 2025","73557","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"broken","Sat Jul 26 03:35:50 GMT 2025","Sat Jul 26 03:37:10 GMT 2025","79938","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"broken","Sat Jul 26 03:35:07 GMT 2025","Sat Jul 26 03:36:30 GMT 2025","82478","","ui.CartTest","","ui.CartTest","editedCartItemsPriceTest","editedCartItemsPriceTest()",""
"passed","Sat Jul 26 03:31:50 GMT 2025","Sat Jul 26 03:31:59 GMT 2025","9351","","api.TokenTest","","api.TokenTest","getAccessTokenTest","getAccessTokenTest()",""
"passed","Sat Jul 26 03:38:27 GMT 2025","Sat Jul 26 03:39:19 GMT 2025","51822","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"broken","Sat Jul 26 03:37:10 GMT 2025","Sat Jul 26 03:38:27 GMT 2025","77363","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Sat Jul 26 03:31:50 GMT 2025","Sat Jul 26 03:32:02 GMT 2025","12341","","api.CartTest","","api.CartTest","getTotalOrderPriceWithDiscountTest","getTotalOrderPriceWithDiscountTest()",""
"passed","Sat Jul 26 03:32:30 GMT 2025","Sat Jul 26 03:33:54 GMT 2025","83841","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"broken","Sat Jul 26 03:32:09 GMT 2025","Sat Jul 26 03:33:10 GMT 2025","60868","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemPriceTest","checkSeveralQuantityItemPriceTest()",""
"broken","Sat Jul 26 03:32:02 GMT 2025","Sat Jul 26 03:32:25 GMT 2025","23701","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButtonTest","addItemToCartViaQuickShopButtonTest()",""
"broken","Sat Jul 26 03:39:08 GMT 2025","Sat Jul 26 03:40:01 GMT 2025","53830","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"broken","Sat Jul 26 03:33:10 GMT 2025","Sat Jul 26 03:34:36 GMT 2025","86458","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Sat Jul 26 03:32:07 GMT 2025","Sat Jul 26 03:32:08 GMT 2025","1321","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
"passed","Sat Jul 26 03:32:04 GMT 2025","Sat Jul 26 03:32:05 GMT 2025","1260","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Sat Jul 26 03:36:30 GMT 2025","Sat Jul 26 03:37:45 GMT 2025","75294","","ui.CartTest","","ui.CartTest","editCartItemQuantityTest","editCartItemQuantityTest()",""
"passed","Sat Jul 26 03:32:05 GMT 2025","Sat Jul 26 03:32:07 GMT 2025","1370","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"broken","Sat Jul 26 03:32:25 GMT 2025","Sat Jul 26 03:33:50 GMT 2025","84293","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
