"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","Cart","","0","0","4","0","0"
"UI","Registration","","0","0","1","0","0"
"UI","Checkout","","2","0","3","0","0"
"UI","Cart","","2","0","4","0","0"
"UI","HomePage","","0","0","2","0","0"
