"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 03:39:45 GMT 2025","Thu Jul 10 03:40:06 GMT 2025","21171","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Thu Jul 10 03:40:56 GMT 2025","Thu Jul 10 03:41:25 GMT 2025","29284","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"skipped","Thu Jul 10 03:39:22 GMT 2025","Thu Jul 10 03:39:22 GMT 2025","1","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Thu Jul 10 03:39:21 GMT 2025","Thu Jul 10 03:39:22 GMT 2025","1067","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Thu Jul 10 03:40:31 GMT 2025","Thu Jul 10 03:40:56 GMT 2025","25018","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"skipped","Thu Jul 10 03:39:22 GMT 2025","Thu Jul 10 03:39:22 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Thu Jul 10 03:41:46 GMT 2025","Thu Jul 10 03:42:23 GMT 2025","37121","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Thu Jul 10 03:39:20 GMT 2025","Thu Jul 10 03:39:21 GMT 2025","1052","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"broken","Thu Jul 10 03:39:22 GMT 2025","Thu Jul 10 03:39:45 GMT 2025","22591","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Thu Jul 10 03:40:06 GMT 2025","Thu Jul 10 03:40:31 GMT 2025","24872","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"skipped","Thu Jul 10 03:39:22 GMT 2025","Thu Jul 10 03:39:22 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Thu Jul 10 03:42:23 GMT 2025","Thu Jul 10 03:42:30 GMT 2025","7420","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"passed","Thu Jul 10 03:41:25 GMT 2025","Thu Jul 10 03:41:46 GMT 2025","20203","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Thu Jul 10 03:42:30 GMT 2025","Thu Jul 10 03:42:37 GMT 2025","6578","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Thu Jul 10 03:39:21 GMT 2025","Thu Jul 10 03:39:21 GMT 2025","281","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
