"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 27 10:41:27 GMT 2025","Sun Jul 27 10:41:28 GMT 2025","983","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"passed","Sun Jul 27 10:45:21 GMT 2025","Sun Jul 27 10:46:14 GMT 2025","53297","","ui.CartTest","","ui.CartTest","editCartItemQuantityTest","editCartItemQuantityTest()",""
"passed","Sun Jul 27 10:50:31 GMT 2025","Sun Jul 27 10:51:24 GMT 2025","53734","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Sun Jul 27 10:53:41 GMT 2025","Sun Jul 27 10:54:59 GMT 2025","77078","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Sun Jul 27 10:41:28 GMT 2025","Sun Jul 27 10:41:29 GMT 2025","1043","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
"passed","Sun Jul 27 10:44:17 GMT 2025","Sun Jul 27 10:45:21 GMT 2025","63775","","ui.CartTest","","ui.CartTest","editedCartItemsPriceTest","editedCartItemsPriceTest()",""
"broken","Sun Jul 27 10:43:32 GMT 2025","Sun Jul 27 10:44:17 GMT 2025","44622","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Sun Jul 27 10:48:14 GMT 2025","Sun Jul 27 10:49:08 GMT 2025","54471","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"passed","Sun Jul 27 10:51:24 GMT 2025","Sun Jul 27 10:52:29 GMT 2025","64856","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Sun Jul 27 10:55:12 GMT 2025","Sun Jul 27 10:55:21 GMT 2025","9679","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Sun Jul 27 10:46:14 GMT 2025","Sun Jul 27 10:47:12 GMT 2025","57684","","ui.CartTest","","ui.CartTest","addItemToCartTest","addItemToCartTest()",""
"passed","Sun Jul 27 10:41:30 GMT 2025","Sun Jul 27 10:42:32 GMT 2025","62662","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButtonTest","addItemToCartViaQuickShopButtonTest()",""
"passed","Sun Jul 27 10:55:08 GMT 2025","Sun Jul 27 10:55:12 GMT 2025","4246","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Sun Jul 27 10:47:12 GMT 2025","Sun Jul 27 10:48:14 GMT 2025","62113","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Sun Jul 27 10:41:26 GMT 2025","Sun Jul 27 10:41:27 GMT 2025","942","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Sun Jul 27 10:55:03 GMT 2025","Sun Jul 27 10:55:08 GMT 2025","4547","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisibleTest","isCategoriesTextVisibleTest()",""
"passed","Sun Jul 27 10:52:29 GMT 2025","Sun Jul 27 10:53:41 GMT 2025","72103","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Sun Jul 27 10:41:21 GMT 2025","Sun Jul 27 10:41:26 GMT 2025","4570","","api.CartTest","","api.CartTest","getTotalOrderPriceWithDiscountTest","getTotalOrderPriceWithDiscountTest()",""
"passed","Sun Jul 27 10:54:59 GMT 2025","Sun Jul 27 10:55:03 GMT 2025","4452","","ui.HomePageTest","","ui.HomePageTest","cartCounterTest","cartCounterTest()",""
"passed","Sun Jul 27 10:41:29 GMT 2025","Sun Jul 27 10:41:30 GMT 2025","132","","api.TokenTest","","api.TokenTest","getAccessTokenTest","getAccessTokenTest()",""
"passed","Sun Jul 27 10:42:32 GMT 2025","Sun Jul 27 10:43:32 GMT 2025","60157","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Sun Jul 27 10:49:08 GMT 2025","Sun Jul 27 10:50:31 GMT 2025","82328","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemPriceTest","checkSeveralQuantityItemPriceTest()",""
"passed","Sun Jul 27 10:41:26 GMT 2025","Sun Jul 27 10:41:26 GMT 2025","627","","api.CartTest","","api.CartTest","isShippingFreeTest","isShippingFreeTest()",""
