"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 09:00:11 GMT 2025","Fri Jul 11 09:00:18 GMT 2025","6288","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"passed","Fri Jul 11 09:00:24 GMT 2025","Fri Jul 11 09:00:36 GMT 2025","11960","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Fri Jul 11 08:56:42 GMT 2025","Fri Jul 11 08:57:21 GMT 2025","39261","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Fri Jul 11 08:59:22 GMT 2025","Fri Jul 11 09:00:11 GMT 2025","49856","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Fri Jul 11 08:55:21 GMT 2025","Fri Jul 11 08:55:22 GMT 2025","1149","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"broken","Fri Jul 11 08:56:19 GMT 2025","Fri Jul 11 08:56:42 GMT 2025","22839","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Fri Jul 11 08:57:21 GMT 2025","Fri Jul 11 08:58:04 GMT 2025","42249","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Fri Jul 11 08:55:22 GMT 2025","Fri Jul 11 08:55:23 GMT 2025","226","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Fri Jul 11 08:55:23 GMT 2025","Fri Jul 11 08:55:23 GMT 2025","571","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Fri Jul 11 09:00:18 GMT 2025","Fri Jul 11 09:00:24 GMT 2025","6014","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Fri Jul 11 08:55:24 GMT 2025","Fri Jul 11 08:56:19 GMT 2025","54838","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Fri Jul 11 08:55:23 GMT 2025","Fri Jul 11 08:55:24 GMT 2025","382","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Fri Jul 11 08:58:47 GMT 2025","Fri Jul 11 08:59:22 GMT 2025","34110","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Fri Jul 11 08:58:04 GMT 2025","Fri Jul 11 08:58:47 GMT 2025","43848","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Fri Jul 11 08:55:23 GMT 2025","Fri Jul 11 08:55:23 GMT 2025","90","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
