"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 09:35:24 GMT 2025","Wed Jul 16 09:35:28 GMT 2025","4104","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Wed Jul 16 09:31:23 GMT 2025","Wed Jul 16 09:32:24 GMT 2025","61094","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Wed Jul 16 09:33:23 GMT 2025","Wed Jul 16 09:34:21 GMT 2025","58241","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Wed Jul 16 09:35:21 GMT 2025","Wed Jul 16 09:35:24 GMT 2025","3779","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"passed","Wed Jul 16 09:34:21 GMT 2025","Wed Jul 16 09:35:21 GMT 2025","59237","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Wed Jul 16 09:22:41 GMT 2025","Wed Jul 16 09:22:42 GMT 2025","909","","api.CartTest","","api.CartTest","removeAllItemsFromCartTest","removeAllItemsFromCartTest()",""
"passed","Wed Jul 16 09:35:28 GMT 2025","Wed Jul 16 09:35:36 GMT 2025","7796","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Wed Jul 16 09:28:33 GMT 2025","Wed Jul 16 09:29:23 GMT 2025","50551","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Wed Jul 16 09:27:35 GMT 2025","Wed Jul 16 09:28:33 GMT 2025","57729","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Wed Jul 16 09:22:35 GMT 2025","Wed Jul 16 09:22:39 GMT 2025","4354","","api.CartTest","","api.CartTest","freeShippingTest","freeShippingTest()",""
"passed","Wed Jul 16 09:22:39 GMT 2025","Wed Jul 16 09:22:40 GMT 2025","796","","api.CartTest","","api.CartTest","totalOrderPriceWithDiscountTest","totalOrderPriceWithDiscountTest()",""
"passed","Wed Jul 16 09:22:43 GMT 2025","Wed Jul 16 09:23:35 GMT 2025","51987","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Wed Jul 16 09:24:30 GMT 2025","Wed Jul 16 09:25:26 GMT 2025","55718","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Wed Jul 16 09:26:33 GMT 2025","Wed Jul 16 09:27:35 GMT 2025","61727","","ui.CartTest","","ui.CartTest","editCartItemQuantityTest","editCartItemQuantityTest()",""
"passed","Wed Jul 16 09:22:40 GMT 2025","Wed Jul 16 09:22:41 GMT 2025","920","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Wed Jul 16 09:30:25 GMT 2025","Wed Jul 16 09:31:23 GMT 2025","58263","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemPriceTest","checkSeveralQuantityItemPriceTest()",""
"failed","Wed Jul 16 09:25:26 GMT 2025","Wed Jul 16 09:26:33 GMT 2025","67687","","ui.CartTest","","ui.CartTest","editedCartItemsPriceTest","editedCartItemsPriceTest()",""
"passed","Wed Jul 16 09:32:24 GMT 2025","Wed Jul 16 09:33:23 GMT 2025","58624","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Wed Jul 16 09:29:23 GMT 2025","Wed Jul 16 09:30:25 GMT 2025","61682","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
"passed","Wed Jul 16 09:23:35 GMT 2025","Wed Jul 16 09:24:30 GMT 2025","55366","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Wed Jul 16 09:22:42 GMT 2025","Wed Jul 16 09:22:43 GMT 2025","908","","api.CartTest","","api.CartTest","editCartItemsTest","editCartItemsTest()",""
