"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 10 02:43:55 GMT 2025","Thu Jul 10 02:43:55 GMT 2025","0","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"skipped","Thu Jul 10 02:43:55 GMT 2025","Thu Jul 10 02:43:55 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Thu Jul 10 02:44:50 GMT 2025","Thu Jul 10 02:45:21 GMT 2025","30679","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"passed","Thu Jul 10 02:46:19 GMT 2025","Thu Jul 10 02:46:40 GMT 2025","21799","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Thu Jul 10 02:47:20 GMT 2025","Thu Jul 10 02:47:25 GMT 2025","4974","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"skipped","Thu Jul 10 02:43:55 GMT 2025","Thu Jul 10 02:43:55 GMT 2025","0","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Thu Jul 10 02:45:49 GMT 2025","Thu Jul 10 02:46:19 GMT 2025","29689","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Thu Jul 10 02:45:21 GMT 2025","Thu Jul 10 02:45:49 GMT 2025","27888","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"broken","Thu Jul 10 02:44:32 GMT 2025","Thu Jul 10 02:44:50 GMT 2025","17937","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Thu Jul 10 02:43:54 GMT 2025","Thu Jul 10 02:43:54 GMT 2025","239","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"passed","Thu Jul 10 02:46:40 GMT 2025","Thu Jul 10 02:47:12 GMT 2025","31963","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Thu Jul 10 02:43:54 GMT 2025","Thu Jul 10 02:43:54 GMT 2025","724","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Thu Jul 10 02:47:12 GMT 2025","Thu Jul 10 02:47:20 GMT 2025","7699","","ui.HomePageTest","","ui.HomePageTest","isCategoriesListClickable","isCategoriesListClickable()",""
"passed","Thu Jul 10 02:43:52 GMT 2025","Thu Jul 10 02:43:53 GMT 2025","1020","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"broken","Thu Jul 10 02:43:55 GMT 2025","Thu Jul 10 02:44:32 GMT 2025","37726","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
