"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 05 07:56:50 GMT 2025","Sat Jul 05 07:56:50 GMT 2025","0","","api.TokenTest","","api.TokenTest","testToken","testToken()",""
"passed","Sat Jul 05 07:56:49 GMT 2025","Sat Jul 05 07:56:50 GMT 2025","653","","api.CartTest","","api.CartTest","testOriginalTotalPriceInCart","testOriginalTotalPriceInCart()",""
"passed","Sat Jul 05 07:56:50 GMT 2025","Sat Jul 05 07:56:50 GMT 2025","86","","api.CartTest","","api.CartTest","testItemsPriceWithDiscount","testItemsPriceWithDiscount()",""
"passed","Sat Jul 05 07:56:50 GMT 2025","Sat Jul 05 07:56:50 GMT 2025","333","","api.CartTest","","api.CartTest","removeItemFromCart","removeItemFromCart()",""
"passed","Sat Jul 05 07:56:48 GMT 2025","Sat Jul 05 07:56:49 GMT 2025","735","","api.CartTest","","api.CartTest","addToCartAsGuestTest","addToCartAsGuestTest()",""
"passed","Sat Jul 05 07:56:49 GMT 2025","Sat Jul 05 07:56:49 GMT 2025","188","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Sat Jul 05 07:56:50 GMT 2025","Sat Jul 05 07:57:15 GMT 2025","24792","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
